127.0.0.1 - - [13/Oct/2016:10:52:16 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [13/Oct/2016:10:52:21 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [13/Oct/2016:10:52:21 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [13/Oct/2016:10:52:26 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [13/Oct/2016:10:52:26 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:10:52:26 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [13/Oct/2016:10:52:26 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:10:52:26 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [13/Oct/2016:10:52:26 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:10:52:26 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [13/Oct/2016:10:52:26 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:10:53:17 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [13/Oct/2016:10:53:17 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [13/Oct/2016:10:54:16 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [13/Oct/2016:10:54:16 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [13/Oct/2016:10:54:52 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [13/Oct/2016:10:54:52 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [13/Oct/2016:10:55:10 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [13/Oct/2016:10:55:10 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [13/Oct/2016:10:55:30 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [13/Oct/2016:10:55:30 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [13/Oct/2016:10:56:01 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [13/Oct/2016:10:56:01 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:05:48 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:05:48 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:05:48 +0530] "GET /TaskManagerChecklist/images%C2%BAnner.jpg HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:06:35 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:06:35 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:06:36 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:06:36 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
